Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence
QCOM,135.96,6.0,137.15778533422053,↑,0.1154215537335
PWR,118.045,4.0,154.20200765406662,↑,0.003837179226834301
DGX,135.84,10.0,138.0121465015036,↑,0.08284059961785896
RL,104.75,4.0,101.03964615029531,↓,0.02865495647841822
RJF,100.86,3.0,128.84870896299708,↑,0.0021896106622841982
RTX,99.96,-10.0,112.68860671227594,↑,0.0039631335378561
O,72.46,8.0,72.0362240488248,↓,0.39795243526854784
REGN,677.59,10.0,729.8577818632693,↑,0.009493929601325956
RF,21.185,6.0,21.073039782491946,↓,0.13309060610313048
RSG,135.755,6.0,135.6174872939273,↓,0.49792013069987656
RMD,219.06,8.0,299.06725357342293,↑,0.0016692801914430927
RHI,110.625,8.0,110.42468843676579,↓,0.0753685047641517
ROK,255.89,11.0,382.83324835057783,↑,0.004703073979892254
ROL,33.065,11.0,34.8139631967274,↑,0.014533394245818978
ROP,471.99,10.0,471.9654798369229,↓,0.32633235859262544
ROST,103.9127,7.0,103.43745175057484,↓,0.9039158907501202
RCL,79.07,5.0,77.61172072133195,↓,0.08560332089907645
SPGI,377.84,-4.0,379.3618578102032,↑,0.009994917205429825
CRM,171.325,12.0,329.0564535945814,↑,0.0027488959477296715
SBAC,354.78,10.0,350.3781820585464,↓,0.37529466370901254
SLB,39.85,2.0,39.53304033491963,↓,0.03875836472523136
STX,80.0,7.0,96.3240884864955,↑,0.010314936698095068
SEE,64.8,5.0,65.38951996340393,↑,0.009773860854044976
SRE,164.58,10.0,167.38211771802526,↑,0.07970675726755902
NOW,459.925,11.0,795.4535966997537,↑,0.002634563850575212
SHW,271.51,14.0,307.47831233734723,↑,0.014452538951381384
SPG,124.63,9.0,157.20859808980174,↑,0.006984418371686431
SWKS,114.09,-1.0,112.15203242154257,↓,0.011383963431654478
SNA,220.36,10.0,220.27257451244805,↓,0.38691372613308417
SO,74.205,13.0,74.79774663755097,↑,0.07610176737657767
LUV,45.305,2.0,44.69134832728014,↓,0.20244426812211985
SWK,139.66,8.0,158.89935233838514,↑,0.01994356923301643
SBUX,76.055,-2.0,77.64287612198939,↑,0.00983724499459353
STT,68.64,5.0,78.70025240653581,↑,0.0057360417549740805
STE,235.62,16.0,239.88833365238315,↑,0.00895415557002409
SYK,250.81,9.0,286.0507735590859,↑,0.0022416694904002364
SIVB,521.475,13.0,604.9742470637179,↑,0.024800478940417633
SYF,37.885,12.0,38.31500101658776,↑,0.0878635956800354
SNPS,285.21,12.0,373.9674699943944,↑,0.004930873601294443
SYY,88.15,10.0,88.14785700887933,↓,0.7852524116749822
TMUS,126.915,13.0,128.71900383882803,↑,0.05935818959401309
TROW,132.36,6.0,153.54313315271293,↑,0.010091631950183443
TTWO,126.5,12.0,236.54722278364852,↑,0.0024286577349517144
TPR,32.77,4.0,31.965545662770808,↓,0.030705443923615246
TGT,238.02,14.0,236.47850791655947,↓,0.6039637824030234
TEL,121.514,11.0,166.40899147434504,↑,0.007390501154249376
TDY,466.38,16.0,467.8587869606381,↑,0.04152079336506903
TFX,321.28,5.0,322.5932330811647,↑,0.012149141545906107
TER,109.34,11.0,137.63585126039368,↑,0.017956638997496645
TSLA,892.39,-3.0,1051.2786566051946,↑,0.0063327221491757055
TXN,170.03,9.0,171.0486024405045,↑,0.01453040208829547
TXT,67.03,10.0,77.57161538583784,↑,0.004771050382339602
COO,386.59,13.0,456.5055464045672,↑,0.0017926461192374788
